Note,note_kor
Lavender Extract,라벤더 익스트랙트
Nettle Blossom,네틀 블로썸 (쐐기풀 꽃)
Apple Tree Blossom,애플 트리 블로썸
White Mimosa,화이트 미모사
Nettle,네틀 (쐐기풀)
Pine needles,파인 니들 (솔잎)
Pine Tree Needles,파인 트리 니들
Mirabelle,미라벨 (황도 자두)
Mimosa Petals,미모사 페탈
Massoia Wood,마소이아 우드
Hamanasu or Japanese Rose,해당화 (재패니즈 로즈)
Tea Leaf,티 리프 (찻잎)
Liv Tyler Rose,리브 타일러 로즈
Seagrass,씨그라스 (해초)
Coconut Leaf,코코넛 리프
White Currant,화이트 커런트
Fuchsia,푸시아 (후크시아)
Chinese Orange,차이니즈 오렌지
Orange Oil,오렌지 오일
Magnolia Petals,매그놀리아 페탈
Bourbon Pepper,버번 페퍼
Green Coriander,그린 코리안더
Wild Strawberry,와일드 스트로베리
Snowberry,스노우베리
Natural Vanilla,내추럴 바닐라
African Freesia Petals,아프리칸 프리지아 페탈
Californian Gardenia,캘리포니안 가드니아
Palm Tree,팜 트리 (야자수)
Orange Leaf,오렌지 리프
Gentiana,용담
Almond Tree,아몬드 트리
Canada Balsam,캐나다 발삼
Madagascar Vetiver,마다가스카르 베티버
Vanilla Sugar,바닐라 슈가
Siam Resin,시암 레진
Massioa,마소이아
White Nerium Oleander,화이트 협죽도
Green Mango,그린 망고
Apricot Blossom,애프리콧 블로썸
Flint,플린트 (부싯돌 향)
Massoia,마소이아
Hibiscus Seed,히비스커스 씨드
California Cedar,캘리포니아 시더
Marzipan,마지팬
White Cyclamen,화이트 시클라멘
Iced Lemon,아이스 레몬
Cactus Flower,캑터스 플라워 (선인장 꽃)
Maninka,마닌카
Rice Basmati,바스마티 라이스
Pear Leaf,페어 리프
Mangosteen,망고스틴
White Cherry,화이트 체리
Red Currant Blossom,레드 커런트 블로썸
Earl Grey Tea,얼그레이 티
Candied Orange,캔디드 오렌지
Coriander Leaf,코리안더 리프
Red Thyme,레드 타임
Silk tree blossom,자귀나무 꽃
Black Cardamom,블랙 카다멈
Cyperus esculentus,타이거 너트
Loukhoum,루쿰 (터키시 딜라이트)
Gurjan balsam,구르잔 발삼
Ink,잉크
Gooseberry,구스베리
Meringue,머랭
Absinthe,앱신스
Rumex,수영 (식물)
Toscanol,토스카놀
Palmarosa,팔마로사
Tamarisk,타마리스크 (위성류)
Chayote,차요테
Mexican Vanilla,멕시칸 바닐라
Hyssop,히솝 (우슬초)
Georgian Apricot,조지안 애프리콧
Red Fruits,레드 프루츠
Japanese Cherry Blossom,재패니즈 체리 블로썸
Mirabella Plum,미라벨 플럼
Green Lilac,그린 라일락
Reed,리드 (갈대)
White Lotus,화이트 로터스
Blue Lavender,블루 라벤더
Green Pepper,그린 페퍼
Light Amber,라이트 앰버
Pomegranate Seed,포머그래닛 씨드
Vanilla Flower,바닐라 플라워
Himalayan Poppy,히말라얀 포피
Datura,다투라 (독말풀)
Almond Wood,아몬드 우드
Indian White Pepper,인디안 화이트 페퍼
Red Peony,레드 피오니
Red Peach,레드 피치
Iso E Super,이소 이 슈퍼
Tahitian Gardenia,타히티안 가드니아
Italian Tangerine,이탈리안 탠저린
White Violet,화이트 바이올렛
Violet woodsorrel,자주괭이밥
Vanilla CO,바닐라 CO2
Morocco leather,모로코 레더
Cistus absolute,시스투스 앱솔루트
Chinese osmanthus absolute,차이니즈 오스만투스 앱솔루트
Indian tuberose absolute,인디안 튜베로즈 앱솔루트
Leathery notes,레더리 노트
Spanish cistus absolute,스패니시 시스투스 앱솔루트
Indonesian patchouli,인도네시안 패출리
Milk Chocolate,밀크 초콜릿
Madagascar Ylang-Ylang,마다가스카르 일랑일랑
Spanish Labdanum,스패니시 랍다넘
Punch,펀치 (음료)
Lotus Leaf,로터스 리프
Lime Blossom,라임 블로썸
Desert Rose,데저트 로즈 (사막장미)
Primrose,프림로즈 (앵초)
Moroccan Incense,모로칸 인센스
Safflower,사플라워 (홍화)
Indian Spices,인디안 스파이스
Garden Dill,가든 딜
Pepperwood or Hercules Club,페퍼우드
Yellow Poppy,옐로우 포피
Tangerine Blossom,탠저린 블로썸
Italian Iris,이탈리안 아이리스
Egyptian Musk,이집션 머스크
Muscenone,머스세논
Rotting Flower,로팅 플라워 (부패한 꽃 향)
Infestation,인페스테이션 (오염된 향)
Blue ginger,블루 진저
Honeydew melon,허니듀 멜론
Aquatic notes,아쿠아틱 노트
Kelp,켈프 (다시마)
Ambrettolide,암브레톨라이드
Marine notes,마린 노트 (바다 향)
Green cardamom,그린 카다멈
Chinese toon,참죽나무
Mastic,마스틱
Mugwort,머그워트 (쑥)
Hinoki cypress,히노키 사이프러스 (편백)
Arabian oud,아라비안 오드
Clearwood,클리어우드
Black grape,블랙 그레이프
Herbs,허브
Watery fruits,워터리 프루츠
Aquatic flowers,아쿠아틱 플라워
Whisky,위스키
Gurjum balsam,구르줌 발삼
Flax blossom,플랙스 블로썸
Passion fruit,패션프루트
Cep,셉 (그물버섯)
Himalaya cedar,히말라야 시더
Indian sandalwood,인디안 샌달우드
Indian ambrette seed,인디안 암브레트 씨드
Brazilian vetiver,브라질리안 베티버
Salted caramel,솔티드 카라멜
Sichuan pepper absolute,쓰촨 페퍼 앱솔루트
Mexican tuberose,멕시칸 튜베로즈
Lipstick,립스틱 향
Oolong tea,우롱 티
Mediterranean fig,메디터레니안 피그
Black hemlock or Tsuga,블랙 헴록 (솔송나무)
Karo-Korund,카로 코룬드
Hellebore flower,헬레보어 플라워 (크리스마스 로즈)
Japanese Osmanthus,재패니즈 오스만투스
Fresh Almond,프레시 아몬드
Orange Pepper,오렌지 페퍼
Green Lotus,그린 로터스
English Rose,잉글리시 로즈
Red Sandalwood,레드 샌달우드
Black Currant Blossom,블랙 커런트 블로썸
Dewberry,듀베리
Pink Nerium Oleander,핑크 협죽도
Myrrh Oil,미르 오일
Valerian,발레리안 (쥐오줌풀)
Panacotta,판나코타
Red Lily,레드 릴리
Milk Mousse,밀크 무스
Black locust Honey,블랙 로커스트 허니 (아까시 꿀)
Plum Tree,플럼 트리 (자두나무)
Egyptian and Indian Jasmine,이집션 및 인디안 자스민
Natural Musk,내추럴 머스크
Kulfi,쿨피 (인도식 아이스크림)
Egyptian balsam,이집션 발삼
Calamus,창포
Virginian Patchouli,버지니안 패출리
Lemon Leaf Oil,레몬 리프 오일
Turmeric,터메릭 (강황)
Thuja,측백나무
Japanese Plum,재패니즈 플럼 (매실)
Wood resin,우드 레진
Yellow Mandarin,옐로우 만다린
Pitosporum,돈나무 (피토스포룸)
California Redwood,캘리포니아 레드우드
Red Maple,레드 메이플 (단풍)
Coton candy,코튼 캔디
pink tulip,핑크 튤립
Butterfly Orchid,버터플라이 오키드 (호접란)
sycamore,시카모어 (플라타너스)
Jasmine Leaf,자스민 리프
Star apple,스타 애플
Avocado,아보카도
Angels Trumpet,엔젤스 트럼펫 (천사의 나팔)
Frosting,프로스팅 (설탕 장식)
Glac,글라세
Monoi Oil,모노이 오일
Guava blossom,구아바 블로썸
Pink Lotus,핑크 로터스
Biscuit,비스킷
Rooibos Tea,루이보스 티
Poinsettia,포인세티아
Winterberry,윈터베리 (낙상홍)
Flower Petals,플라워 페탈 (꽃잎)
French Narcissus,프렌치 나르시서스
Canel,카넬 (시나몬)
Cappuccino,카푸치노
Indian Mandarin,인디안 만다린
Frosted Mango,프로스티드 망고
raspberry bloom,라즈베리 블룸
Lemonade,레모네이드
gunpowder,건파우더 (화약 향)
Nard Himalayan,히말라얀 나드 (감송)
Jatamansi,자타만시 (감송)
Egyptian Rosewood,이집션 로즈우드
Thailand Oud,타일랜드 오드
Coral Amber,코랄 앰버
Florida Grapefruit,플로리다 그레이프프루트
Chinese Jasmine,차이니즈 자스민
Red Myrrh,레드 미르
